02/06/2020,02/06/2020,11111111,"Greens",22.00,
03/06/2020,03/06/2020,11111111,"Jam Kippers",33.00,
04/06/2020,04/06/2020,11111111,"CredCard1 transaction from CredCard1.csv",44.00,
12/06/2020,12/06/2020,11111111,"CRED CARD 1 PAYMENT DESCRIPTION ON STATEMENTS",-1000.00,
19/6/2020,19/6/2020,11111111,"DUPLICATE TRANSACTION",8.20,
20/6/2020,20/6/2020,11111111,"DUPLICATE TRANSACTION",8.20,
21/6/2020,21/6/2020,11111111,"DUPLICATE TRANSACTION",8.20,
01/7/2020,1/7/2020,11111111,"CredCard1 monthly transaction 01",65.00,
02/7/2020,2/7/2020,11111111,"CredCard1 monthly transaction 02",75.00,
03/7/2020,3/7/2020,11111111,"CredCard1 monthly transaction 03",85.00,
